Date,PE,Close,Earnings
1950-02-01,7.31,17.049999,2.3324212038303695
1950-03-01,7.32,17.24,2.355191256830601
1950-05-01,7.43,18.219999,2.452220592193809
1950-06-01,7.38,18.77,2.543360433604336
1950-08-01,6.93,18.02,2.6002886002886005
1950-09-01,7.01,18.549999,2.6462195435092726
1950-11-01,7.08,19.559999,2.762711723163842
1950-12-01,6.95,19.66,2.8287769784172663
1951-02-01,7.76,21.77,2.8054123711340204
1951-03-01,7.64,21.85,2.859947643979058
1951-05-01,7.96,22.530001,2.830402135678392
1951-06-01,7.92,21.48,2.7121212121212124
1951-08-01,8.87,22.51,2.5377677564825256
1951-10-01,9.39,23.469999,2.499467412140575
1951-11-01,9.22,23.1,2.5054229934924077
1952-02-01,9.84,24.299999,2.469512093495935
1952-04-01,9.97,24.18,2.425275827482447
1952-05-01,10.06,23.17,2.3031809145129225
1952-07-01,10.69,25.120001,2.349859775491113
1952-08-01,10.7,25.450001,2.37850476635514
1952-10-01,10.22,24.48,2.395303326810176
1952-12-01,10.85,25.68,2.366820276497696
1953-04-01,10.06,25.25,2.5099403578528827
1953-05-01,10.0,24.73,2.473
1953-06-01,9.54,24.15,2.5314465408805034
1953-07-01,9.63,24.24,2.5171339563862927
1953-09-01,9.13,23.42,2.565169769989047
1953-10-01,9.45,23.49,2.4857142857142858
1953-12-01,9.89,24.780001,2.5055612740141555
1954-02-01,10.26,25.99,2.5331384015594542
1954-03-01,10.42,26.25,2.519193857965451
1954-04-01,10.74,27.17,2.5297951582867784
1954-06-01,11.05,29.190001,2.6416290497737553
1954-07-01,11.49,29.209999,2.5422105308964316
1954-09-01,11.96,30.040001,2.511705769230769
1954-10-01,12.02,32.290001000000004,2.6863561564059903
1954-11-01,12.28,31.790001,2.588762296416938
1954-12-01,12.62,33.990002000000004,2.6933440570522986
1955-02-01,12.7,36.720001,2.8913386614173233
1955-03-01,12.33,36.830002,2.987023682076237
1955-04-01,12.39,36.950001,2.9822438256658597
1955-06-01,12.35,37.959999,3.0736841295546564
1955-07-01,12.96,41.189999,3.178240663580247
1955-08-01,12.6,42.93,3.407142857142857
1955-09-01,12.89,43.369999,3.364623661753297
1955-11-01,12.63,42.279999,3.347585035629453
1955-12-01,12.53,45.349998,3.619313487629689
1956-02-01,12.12,44.029999,3.632838201320132
1956-03-01,12.87,45.540001,3.5384616161616163
1956-05-01,12.82,48.16,3.756630265210608
1956-06-01,12.85,45.580002,3.5470818677042804
1956-08-01,13.83,49.619999,3.5878524222704264
1956-10-01,13.43,44.700001,3.3283693968726733
1956-11-01,13.35,46.52,3.4846441947565547
1957-02-01,12.77,44.619999,3.494126781519186
1957-03-01,12.95,43.740002,3.377606332046332
1957-04-01,13.22,44.139999,3.3388804084720123
